"activity" "subjet" "mean"
"103" "SITTING" 13 -0.638179130162868
"104" "SITTING" 14 -0.639930771868791
"105" "SITTING" 15 -0.641496217339585
"106" "SITTING" 16 -0.642254023210701
"107" "SITTING" 17 -0.643707360983648
"108" "SITTING" 18 -0.650240242162375
"109" "SITTING" 19 -0.638986666530727
"110" "SITTING" 20 -0.639872725383092
"111" "SITTING" 21 -0.644724493205524
"112" "SITTING" 22 -0.634015600138589
"113" "SITTING" 23 -0.632843540612456
"114" "SITTING" 24 -0.646619496620551
"115" "SITTING" 25 -0.645307467575153
"116" "SITTING" 26 -0.642718508921569
"117" "SITTING" 27 -0.647329814034974
"118" "SITTING" 28 -0.637322526513564
"119" "SITTING" 29 -0.644100724926612
"120" "SITTING" 30 -0.646017901904583
"121" "STANDING" 1 -0.647424789141436
"122" "STANDING" 2 -0.636454993012462
"123" "STANDING" 3 -0.626824657789309
"124" "STANDING" 4 -0.618583772157932
"125" "STANDING" 5 -0.618821537531601
"126" "STANDING" 6 -0.629253160586122
"127" "STANDING" 7 -0.63369010626409
"128" "STANDING" 8 -0.639463722621354
"129" "STANDING" 9 -0.633713631013694
"130" "STANDING" 10 -0.630886542166037
"131" "STANDING" 11 -0.648374467923916
"132" "STANDING" 12 -0.627684013763497
"133" "STANDING" 13 -0.639297749080434
"134" "STANDING" 14 -0.633771114374627
"135" "STANDING" 15 -0.640037091389994
"136" "STANDING" 16 -0.646538416475197
"137" "STANDING" 17 -0.644675070329398
"138" "STANDING" 18 -0.645518459042212
"139" "STANDING" 19 -0.640136697217531
"140" "STANDING" 20 -0.620027732157146
"141" "STANDING" 21 -0.638450214241584
"142" "STANDING" 22 -0.635992094486953
"143" "STANDING" 23 -0.637024168810267
"144" "STANDING" 24 -0.634194893841734
"145" "STANDING" 25 -0.645297950751058
"146" "STANDING" 26 -0.644004547265191
"147" "STANDING" 27 -0.644356212162637
"148" "STANDING" 28 -0.627883524309929
"149" "STANDING" 29 -0.650245278868483
"150" "STANDING" 30 -0.630635453342216
"151" "LAYING" 1 -0.607522391836014
"152" "LAYING" 2 -0.639973837827844
"153" "LAYING" 3 -0.641445804875381
"154" "LAYING" 4 -0.630875080725603
"155" "LAYING" 5 -0.631793505517319
"156" "LAYING" 6 -0.619421431071453
"157" "LAYING" 7 -0.628303269447471
"158" "LAYING" 8 -0.627089533537997
"159" "LAYING" 9 -0.628414047268328
"160" "LAYING" 10 -0.633606314208568
"161" "LAYING" 11 -0.643553031373099
"162" "LAYING" 12 -0.63012919397725
"163" "LAYING" 13 -0.624337936876007
"164" "LAYING" 14 -0.628355645282404
"165" "LAYING" 15 -0.639883147448173
"166" "LAYING" 16 -0.635906117499551
"167" "LAYING" 17 -0.629876420657766
"168" "LAYING" 18 -0.645039855011435
"169" "LAYING" 19 -0.632999218754884
"170" "LAYING" 20 -0.644397438696908
"171" "LAYING" 21 -0.63110876443376
"172" "LAYING" 22 -0.632109081483277
"173" "LAYING" 23 -0.628089473591726
"174" "LAYING" 24 -0.634203387560794
"175" "LAYING" 25 -0.589506698496036
"176" "LAYING" 26 -0.640679888089531
"177" "LAYING" 27 -0.645993647892745
"178" "LAYING" 28 -0.640518710327799
"179" "LAYING" 29 -0.646324698842316
"180" "LAYING" 30 -0.642625296795821
